=25: U+066a,	# ARABIC PERCENT SIGN
=ee: U+fecd,	# ARABIC LETTER GHAIN ISOLATED FORM
=ef: U+fee1,	# ARABIC LETTER MEEM ISOLATED FORM
=f0: U+fe7d,	# ARABIC SHADDA MEDIAL FORM
=f1: U+0651,	# ARABIC SHADDAH
=f2: U+fee5,	# ARABIC LETTER NOON ISOLATED FORM
=f3: U+fee9,	# ARABIC LETTER HEH ISOLATED FORM
=f4: U+feec,	# ARABIC LETTER HEH MEDIAL FORM
=f5: U+fef0,	# ARABIC LETTER ALEF MAKSURA FINAL FORM
=f6: U+fef2,	# ARABIC LETTER YEH FINAL FORM
=f7: U+fed0,	# ARABIC LETTER GHAIN MEDIAL FORM
=f8: U+fed5,	# ARABIC LETTER QAF ISOLATED FORM
=f9: U+fef5,	# ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE ISOLATED FORM
=fa: U+fef6,	# ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE FINAL FORM
=fb: U+fedd,	# ARABIC LETTER LAM ISOLATED FORM
=fc: U+fed9,	# ARABIC LETTER KAF ISOLATED FORM
=fd: U+fef1,	# ARABIC LETTER YEH ISOLATED FORM
=fe: U+25a0,	# BLACK SQUARE
=ff: U+0000,	# UNDEFINED
